id_barrio,nombre_barrio
737998244,Canaverales Los Samanes
737998896,Jorge Eliecer Gaitan
738000400,Lili
737996734,El Poblado
738000407,Urbanización San Juaquín
738000383,Urbanización Ciudad Jardín
737997089,Villa del Sur
737998252,Chipichape
737998812,Prados del Norte
737998129,Camino Real-Los Fundadores
737998852,Los Portales-Nuevo Rey
737998251,San Vicente
737998171,Á_x0081_rea Libre-Parque del Amor
737999415,El Jardín
737998174,Urbanización La Flora
737998749,Jorge Isaacs
738000366,Mayapan-Las Vegas
737998095,Unidad Residencial Santiago de Cali
737998164,Bretana
737998941,La Hacienda
737998149,La Flora
737998082,Barrio Eucarístico
737998761,Industrial
737998832,San Pedro
737998204,Versalles
737996810,Parcelaciones Pance
737998955,José M. Córdoba
737998255,La Paz
737998290,Barrio Obrero
737998825,Ciudadela Floralia
737998194,Santa Mónica Residencial
738001442,Camino Real-Joaquín Borrero
737998685,El Peñón
737998207,Urbanización La Merced
737998270,Atanasio Girardota
737999414,San Fernando Nuevo
737999421,La Alianza
737998847,El Gran Limonar
737997005,Villa del Prado-El Guabito
738000397,El Ingenio
738000386,La Ciudadela Confandi
737999406,Santa Isabel
737998202,Ciudad Los Á_x0081_lamos
737998090,3 de Julio
738001440,Canaveralejo-Seguros Patria
737998935,San Nicolás
737999403,San Fernando Viejo
737998283,Santo Domingo
737998087,El Cedro
737996910,Ciudad Córdoba
737997006,Alfonso López I
737998266,Juanambu
737998256,El Bosque
738000399,Nueva Floresta del Ict
737998259,Granada
738068452,Junin
737998111,Los Cambulos
737999431,Alameda
737998922,Cataya-El Gran Limonar
737998912,El Calvario
737998838,Calima
737998219,Vipasa
737999427,Urbanización Tequendama
737998824,Brisas de los Á_x0081_lamos
737998124,Urbanización Militar
737998796,Manzanares
737998953,Villa Blanca
737999437,Ciudadela Paso Ancho
737996739,Vallado
737998287,La Merced
737997038,Maracaibo
737999416,Sucre
738001441,Nueva Tequendama
737996829,El Refugio
738002275,San Antonio
737999429,Ciudad 2000
738000362,Chapinero
737999435,Guayaquil
737998231,El Guabal
737998752,Porvenir
737998120,Champagnat
738000380,Saavedra Galindo
737998805,Santander
737998195,Santa Rosa
737998942,El Limonar
738000379,Ciudad Campestre
737998851,Ciudad Capri
738018187,Urbanización Río Lili
737998828,Sector Puente del Comercio
737998042,Fepicol
737998845,Cristobal Colón
737998100,Olímpico
737998913,Villa del Sol
737998687,Acueducto San Antonio
737996733,Santa Teresita
737998098,Departamental
738000412,Quintas de Don Simón
737998077,Desepaz Invicali
737998027,Los Guayacanes
738000115,Flora Industrial
737996913,Unión de Vivienda Popular
738018074,San Cristobal
738000119,Los Parques
737998285,La Fortaleza
737998275,Centenario
737998878,Los Alcázares
738000384,Ciudad Universitaria
738000351,Siete de Agosto
737998692,Los Libertadores
738001427,Pampalinda
737996993,Alférez Real
737999419,El Sena
737998119,Colseguros Andes
738000377,Unicentro Cali
738002274,San Cayetano
737996847,Primitivo Crespo
738000378,Club Campestre
737996845,Buenos Aires
738000114,Torres de Comfandi
737997188,Ville Grande
737997029,Los Sauces
737998168,Menga
737998921,Santa Anita
737998099,Panamericano
737998826,Los Guaduales
737997030,Mariano Ramos
737999439,La Base
738000403,Caney
737998905,La Rivera
738001426,Cuarto de Legua-Guadalupe
737996760,Los Comuneros I
737998934,Primero de Mayo
737996759,El Retiro
737999402,Alfonso López III
737996983,Meléndez
737999433,Villa Colombia
737999420,Evaristo García
738000401,Belalcazar
737999388,José Manuel Marroquin II
737996834,Caldas
737996824,El Prado
738000365,Sector Meléndez
737995769,Julio Rincón
737998754,Las Delicias
737998811,Industria de Licores
737996728,Santa Rita
737998281,Las Granjas
737996914,República de Israel
737999438,San Juan Bosco
737996731,Los Comuneros II
738000413,Urbanización Colseguros
737998037,Compartir
737998036,Ciudad Talanga
737998101,U Dep Panamericana Ant Hipódromo
737998182,Guillermo León Valencia
737996787,Laureano Gómez
738000404,Santa Elena
737998091,El Lido
738017969,Las Acacias
738000069,Olaya Herrera
738002459,Charco Azul
737998080,Siloe
737998767,El Troncal
737998834,Santa Mónica Belalcazar
737998797,Bolivariano
737998835,Aranjuez
737998242,La Floresta
737998772,Las Américas
737998025,Manuela Beltrán
737998816,El Dorado
737998932,El Piloto
737996836,Los Chorros
737998023,Alfonso Bonilla Aragón
737999366,Puerto Mallarino
737999422,Paseo de los Almendros
737998956,Primavera
737999425,Los Lagos
737998940,Bosques del Limonar
737999386,Planta de Tratamiento
737997073,La Independencia
738000408,Prados del Limonar
737998853,El Hoyo
737997181,José Manuel Marroquin I
737997009,Los Andes B-La Riviera
737998030,Calimio Desepaz
737998238,San Judas Tadeo II
737996971,El Jordán
737998113,Belén
737998768,Municipal
737999396,Alirio Mora Beltrán
737997003,Las Ceibas
737996828,El Recuerdo
738001428,U Dep Galindo Plaza Toros
738000388,Urbanización La Nueva Base
737996729,El Diamante
738000389,El Trebol
737999418,Los Andes
737998264,La Selva
737997007,Alfonso López II
737998284,El Rodeo
737998799,Ignacio Rengifo
737998763,Parque de la Caña
737999409,Salomia
737998070,Puerta del Sol
737998883,San Luis II
737998848,Paseo del Comercio
738000363,Unidad Residencial Bueno Madrid
737999441,Lleras Restrepo II
737998269,Santa Fe
737998753,Esmeralda
737998193,San Pascual
737996915,San Benito
737997199,Las Orquídeas
737998229,La Isla
737998076,El Remanso
737998694,Miraflores
737998798,Popular
737998907,Petecuy II
738000381,Benjamín Herrera
737998169,La Cascada
737998257,La Campina
738017956,Brisas del Limonar
737999432,El Pondaje
737996814,Aguablanca
737998181,Marco Fidel Suarez
737998253,Boyacá
737998035,Ciudadela del Río
737999387,El Á_x0081_ngel del Hogar
737996827,Alto de los Chorros
738013838,12 de Octubre
737999400,Metropolitano del Norte
737998241,San Judas Tadeo I
738000390,Ulpiano Lloreda
737996745,Sindical
737998954,San Carlos
737996735,Antonio Nariño
737999426,Nueva Granada
737996984,Horizontes
738002245,Fátima
737998289,Manuel María Buenventura
737998071,Promociones Populares
737998286,León XII
737996909,Bajos Ciudad Córdoba
737997033,Nápoles
737996752,Arboledas
737996696,Aguacatal
737998282,Jorge Zawadsky
737998268,Alfonso Barberena
738002246,San Francisco-Berlín
737995777,Los Rubles
737998110,Belisario Caicedo
737998097,Pasoancho
737998684,Santa Bárbara
737998112,Altos de Santa Isabel La Morelia
737997013,Francisco Eladio Ramírez
737998895,San Luis
737996788,Normandía
737999417,La Esperanza
737998815,Rafael Uribe
737996833,Prados de Oriente
737997139,José Holguin Garces
737998951,Los Conquistadores
737996973,Alto Jordán
737999412,La Gran Colombia
738000350,Villa del Lago
737996724,Terrón Colorado
737997031,Villanueva
737998819,La Libertad
737996798,20 de Julio
738012975,El Poblado II
737996837,Lourdes
737998272,Asturias
737998810,El Paraíso
737998109,Unidad Residencial El Coliseo
737996870,Colinas del Sur
737996726,El Vergel
737996970,Polvorines
